"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\di\dependency_injection.dart", "Dart", 42, 11, 15, 68
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\helpers\app_regex.dart", "Dart", 29, 0, 7, 36
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\helpers\constants.dart", "Dart", 8, 0, 1, 9
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\helpers\extensions.dart", "Dart", 22, 0, 7, 29
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\helpers\location_helper.dart", "Dart", 10, 0, 11, 21
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\helpers\shared_pref_helper.dart", "Dart", 72, 11, 12, 95
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\helpers\spacing.dart", "Dart", 7, 0, 5, 12
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\networking\api_constants.dart", "Dart", 28, 3, 7, 38
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\networking\api_error_handler.dart", "Dart", 157, 6, 14, 177
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\networking\api_error_model.dart", "Dart", 14, 0, 4, 18
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\networking\api_result.dart", "Dart", 8, 0, 3, 11
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\networking\api_service.dart", "Dart", 50, 0, 12, 62
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\networking\dio_factory.dart", "Dart", 43, 1, 10, 54
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\routing\app_router.dart", "Dart", 50, 15, 6, 71
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\routing\routes.dart", "Dart", 7, 0, 1, 8
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\theming\colors.dart", "Dart", 11, 0, 4, 15
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\theming\font_wieght_helper.dart", "Dart", 11, 0, 2, 13
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\theming\light_mode.dart", "Dart", 10, 1, 4, 15
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\theming\text_styles.dart", "Dart", 120, 0, 28, 148
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\widgets\app_text_button.dart", "Dart", 55, 0, 4, 59
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\widgets\app_text_form_field.dart", "Dart", 87, 0, 4, 91
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\widgets\custom_expansion_tiles.dart", "Dart", 24, 0, 3, 27
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\widgets\image_back_ground_container.dart", "Dart", 18, 1, 3, 22
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\core\widgets\shimmer_effect.dart", "Dart", 19, 0, 2, 21
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\login\data\models\login_request_body.dart", "Dart", 9, 0, 6, 15
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\login\data\models\login_response.dart", "Dart", 21, 0, 8, 29
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\login\data\repos\login_repo.dart", "Dart", 18, 0, 6, 24
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\login\logic\cubit\login_cubit.dart", "Dart", 38, 0, 5, 43
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\login\logic\cubit\login_state.dart", "Dart", 9, 0, 4, 13
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\login\ui\login_screen.dart", "Dart", 72, 0, 5, 77
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\login\ui\widgets\dont_have_account_text.dart", "Dart", 30, 0, 3, 33
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\login\ui\widgets\email_and_password.dart", "Dart", 86, 8, 12, 106
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\login\ui\widgets\login_bloc_listener.dart", "Dart", 68, 0, 6, 74
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\login\ui\widgets\terms_and_conditions_text.dart", "Dart", 31, 0, 4, 35
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\sign_up\data\models\sign_up_request_body.dart", "Dart", 18, 0, 5, 23
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\sign_up\data\models\sign_up_response.dart", "Dart", 27, 0, 12, 39
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\sign_up\data\repos\sign_up_repo.dart", "Dart", 18, 0, 5, 23
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\sign_up\logic\sign_up_cubit.dart", "Dart", 34, 0, 6, 40
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\sign_up\logic\sign_up_state.dart", "Dart", 9, 0, 3, 12
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\sign_up\ui\sign_up_screen.dart", "Dart", 65, 0, 4, 69
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\sign_up\ui\widgets\already_have_account_text.dart", "Dart", 30, 0, 4, 34
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\sign_up\ui\widgets\password_validations.dart", "Dart", 56, 0, 5, 61
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\sign_up\ui\widgets\sign_up_bloc_listener.dart", "Dart", 98, 0, 5, 103
